"ID";"Título";"Entidade";"Localização";"Requerente - Autor";"Status";"Última atualização";"Data de abertura";"Prioridade";"Atribuído - Grupo técnico";"Atribuído - Técnico";"Categoria";"Tempo para solução + Progresso";
"53 925";"Suporte Sistemas MV - SOULMV e MVPEP - - Solicitação para Alteração de Prestador do Atendimento";"Hospital Tacchini";"Recepção SADT";"recepcao.cdi";"Em atendimento (atribuído)";"14-09-2023 08:32";"14-09-2023 08:20";"Média";"Grupo MV";"Valmir Cepriani";"SUPORTE SISTEMAS > MV > Erro Operacional";"15-09-2023 18:00 

 1%";
"53 919";"Solicitação de Suporte Técnico - Preciso fazer movedoc para o setor 71. Obrigada.";"Hospital Tacchini";"Faturamento";"Weridiane Duarte Kikuti";"Em atendimento (atribuído)";"14-09-2023 08:22";"14-09-2023 07:11";"Média";"Grupo MV";"";"SUPORTE TÉCNICO > navegador MV";"15-09-2023 18:00 

 4%";
"53 926";"Dados do formulárioPreencha os dados abaixo para abrir seu chamado1) S";"Hospital Tacchini";"Fisioterapia Ambulatorial";"fisioterapia";"Em atendimento (atribuído)";"14-09-2023 08:22";"14-09-2023 08:22";"Alta";"Grupo NL/Xcape";"Tiago Marchetto";"SUPORTE SISTEMAS > NL Gestão";"14-09-2023 12:22 

 5%";
"53 918";"Suporte Sistemas MV - SOULMV e MVPEP - Liberar a tela do MVSOUL <MOVDOC/M_PROT_ENVIO> para os usuários abaixo CASSIA.16649 LIANA.16702 ALINE.16789 MARIAEDUMM - Suporte em Geral";"Hospital Tacchini";"Farmácia Bloco Cirúrgico";"farmaciainterna";"Em atendimento (atribuído)";"14-09-2023 07:37";"13-09-2023 18:12";"Média";"Grupo MV";"Valmir Cepriani";"SUPORTE SISTEMAS > MV > Acessos/Criação de usuarios";"14-09-2023 18:00 

 60%";
"53 920";"Solicitação de Suporte Técnico - Solicito que seja liberado o acesso ao WhatsApp WEB na máquina IP 192168153, é consultório médico na clínica da mulher. Essa máquina é utilizada para envio de mensagens aos pacientes.";"Hospital TacchiniHospital São Roque";"Clinica da Mulher";"Silvana Aparecida J da Silva Borsato";"Em atendimento (atribuído)";"14-09-2023 07:30";"14-09-2023 07:30";"Média";"Grupo Suporte Técnico HSR";"Eliandro Waliszevski";"SUPORTE TÉCNICO > Computador";"";
"53 913";"NÃO ESTA IMPRIMINDO DIREITO";"Hospital Tacchini";"Pronto Socorro - Check Out";"Pronto Socorro";"Em atendimento (atribuído)";"14-09-2023 07:26";"13-09-2023 16:31";"Alta";"Grupo Suporte Técnico";"Luis Franzen";"SUPORTE TÉCNICO > Impressora";"14-09-2023 09:31 

 76%";
"53 901";"DOIS COMPUTADORES NÃO IMPRIMEM NO POSTO DE ENFERMAGEM DOS MONITORES";"Hospital Tacchini";"Pronto Socorro";"Pronto Socorro";"Em atendimento (atribuído)";"14-09-2023 07:26";"13-09-2023 14:54";"Alta";"Grupo Suporte Técnico";"Luis Franzen";"SUPORTE TÉCNICO > Impressora";"14-09-2023 07:54 

 100%";
"53 756";"Solicitação de Suporte Técnico - Favor verificar o not, pois não está funcionando o áudio.  O João verificou na quarta de tarde e hoje pela manhã, mas não conseguiu identificar o problema.";"Hospital Tacchini";"Faturamento";"Vanessa Ducatti";"Em atendimento (atribuído)";"14-09-2023 03:26";"11-09-2023 11:06";"Alta";"Grupo Suporte Técnico";"Lucas Noronha <br>João Cella";"SUPORTE TÉCNICO > Outros";"11-09-2023 15:06 

 100%";
"53 744";"Solicitação de Suporte Técnico - conforme ligado hoje, para explicar que nao estamos conseguindo acessar o pacote office, foi solicitado abrir um chamado para formatação do computador.";"Hospital Tacchini";"Sesmt Saúde";"Sesmt Saúde";"Em atendimento (atribuído)";"14-09-2023 03:25";"11-09-2023 09:20";"Média";"Grupo Suporte Técnico";"Lucas Noronha <br>João Cella";"SUPORTE TÉCNICO > Computador";"12-09-2023 18:00 

 100%";
"53 912";"Solicitação de Suporte Técnico - Prezados, fui acionado que o HSR não consegue ligar para o telefone (54)993655167 ou para o ramal abreviado 7192.";"Hospital Tacchini";"Contact Center";"Halisson Gomes";"Em atendimento (atribuído)";"13-09-2023 16:31";"13-09-2023 16:30";"Alta";"Grupo Suporte Técnico";"Harlon Oliveira";"SUPORTE TÉCNICO > Outros";"14-09-2023 09:30 

 77%";
